Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
08.Apr.19, INFY, EQ,763.05,770,755.4,769.15,767.25,4919911,37529.1
05.Apr.19, INFY, EQ,750.9,760.95,748,759.55,759.3,6276040,47615.76
04.Apr.19, INFY, EQ,751.4,753.8,745.1,748.95,747.9,7688525,57543.46
03.Apr.19, INFY, EQ,756,758.5,746.8,751.65,753.3,6897127,51899.56
02.Apr.19, INFY, EQ,759,765.8,754.6,755,759.4,7283600,55396.25
01.Apr.19, INFY, EQ,742,760,742,753.75,755.1,6584982,49672
29.Mar.19, INFY, EQ,743.9,747.95,740,742.15,743.85,6924061,51479.91
28.Mar.19, INFY, EQ,730,745,730,739.1,737.8,9277241,68626.17
27.Mar.19, INFY, EQ,730,732.3,727.15,728.9,729.7,7387487,53952
26.Mar.19, INFY, EQ,735.25,735.25,719.1,727.8,727.75,9406261,68162.21
25.Mar.19, INFY, EQ,742.4,742.4,730.55,733.95,735.25,7644966,56209.08
22.Mar.19, INFY, EQ,745,746.35,732.3,745,743.1,8883260,65860.1
20.Mar.19, INFY, EQ,727.25,742.3,727.15,737.8,738.95,13471173,99353.68
19.Mar.19, INFY, EQ,712.8,726.5,707.4,725.9,722.25,8917337,63778.98
18.Mar.19, INFY, EQ,721.55,723.7,705.35,709.5,710.2,8065544,57668.85
15.Mar.19, INFY, EQ,712,723.75,709.6,720,718.55,14638664,105042.08
14.Mar.19, INFY, EQ,714,714.9,706.2,708.45,708.35,6415187,45549.11
13.Mar.19, INFY, EQ,710,718.6,706.3,709,708.45,11348867,80668.94
12.Mar.19, INFY, EQ,709,714.95,705.6,706.75,706.95,11997387,85059.78
11.Mar.19, INFY, EQ,713.3,718.5,709.4,711.05,711.25,9932198,70723.98
08.Mar.19, INFY, EQ,722.95,722.95,710.65,713.2,712.35,7193994,51420.23
